0	0	0	0
1	10586	5395	0
2	10715	6499	9
3	11050	6760	11
4	11105	7192	9
5	11036	7296	15
6	10998	7423	19
7	10857	7376	22
8	10790	7334	34
9	10932	7398	40
10	10895	7462	39
11	10934	7558	37
12	10917	7428	37
13	10848	7397	46
14	11033	7638	43
15	11034	7498	77
16	10993	7289	51
17	10902	7502	78
18	10901	7548	61
19	10850	7468	70
20	10822	7501	71
21	10829	7403	83
22	10861	7550	78
23	10870	7412	92
24	10969	7388	86
25	10941	7396	82
26	10866	7623	97
27	10950	7372	104
28	10804	7560	112
29	10791	7400	117
30	10906	7485	117
31	10897	7454	119
32	10951	7413	124
33	10861	7363	127
34	10886	7376	113
35	10773	7317	128
36	10681	7433	141
37	10899	7473	129
38	10807	7388	144
39	10544	7308	161
40	10681	7393	175
41	10532	7441	157
42	10789	7326	141
43	10895	7429	171
44	10716	7576	153
45	10641	7428	169
46	10824	7296	171
47	10798	7380	184
48	10645	7502	179
49	10790	7360	174
50	10635	7617	190
51	10664	7496	178
52	10788	7356	192
53	10779	7334	187
54	10706	7437	168
55	10724	7348	181
56	10628	7317	202
57	10610	7424	180
58	10554	7444	221
59	10521	7391	225
60	10597	7461	203
61	10618	7526	230
62	10674	7377	238
63	10635	7353	238
64	10645	7524	210
65	10551	7315	222
66	10579	7484	259
67	10528	7557	232
68	10269	7568	234
69	10701	7540	239
70	10688	7499	256
71	10449	7414	246
72	10608	7470	252
73	10500	7387	272
74	10794	7266	271
75	10625	7383	258
76	10692	7402	272
77	10669	7608	244
78	10672	7354	278
79	10573	7497	269
80	10550	7394	270
81	10809	7537	276
82	10470	7436	269
83	10553	7492	274
84	10511	7406	290
85	10655	7423	290
86	10359	7341	294
87	10473	7301	291
88	10447	7501	313
89	10684	7444	263
90	10376	7341	296
91	10265	7439	266
92	10637	7614	324
93	10627	7699	278
94	10466	7309	322
95	10746	7346	330
96	10259	7356	326
97	10413	7259	292
98	10436	7336	319
99	10509	7335	332
100	10476	7321	347
101	10402	7345	340
102	10346	7502	320
103	10397	7416	311
104	10326	7259	306
105	10559	7319	340
106	10546	7302	321
107	10401	7515	347
108	10593	7204	330
109	10382	7167	364
110	10399	7604	355
111	10388	7332	333
112	10370	7333	345
113	10389	7409	318
114	10235	7525	395
115	10144	7341	355
116	10394	7374	333
117	10307	7290	364
118	10411	7146	388
119	10321	7428	398
120	10257	7483	350
121	10418	7244	366
122	10284	7359	378
123	10343	7220	380
124	10325	7180	389
125	10505	7247	363
126	10271	7344	383
127	10327	7331	373
128	10263	7424	371
129	10414	7292	353
130	10355	7379	375
131	10206	7212	381
132	10250	7262	405
133	10255	7278	404
134	10212	7383	425
135	10240	7362	394
136	10264	7306	386
137	10407	7161	409
138	10329	7290	383
139	10167	7422	410
140	10220	7404	395
141	10222	7178	404
142	10253	7237	413
143	10160	7489	424
144	10074	7177	406
145	10201	7188	457
146	10160	7361	445
147	10125	7222	455
148	10139	7222	392
149	9958	7350	406
150	10102	7335	400
151	10033	7207	426
152	9921	7287	411
153	10003	7306	442
154	10278	7340	475
155	10130	7119	431
156	10306	7069	415
157	10068	7243	373
158	10163	7244	440
159	10184	7203	449
160	10101	7236	441
161	9970	7138	482
162	9841	7095	434
163	10293	7267	430
164	10093	7138	419
165	9990	7087	424
166	9954	7183	429
167	9684	7086	438
168	10154	7066	462
169	9888	7254	473
170	10085	7098	438
171	9875	7220	461
172	10079	7141	462
173	10041	7157	456
174	10009	7230	484
175	9901	7127	466
176	10142	7116	436
177	10243	7205	461
178	9789	7156	490
179	9839	7108	451
180	9948	7173	461
181	9842	7221	447
182	9908	7157	440
183	9983	7208	425
184	9988	7231	489
185	9874	7131	476
186	10132	7134	484
187	9910	7146	517
188	9960	7162	473
189	9774	7251	496
190	9759	7085	492
191	9795	7172	478
192	9916	7065	485
193	9809	7138	518
194	9851	7074	478
195	9729	6981	479
196	9730	7050	472
197	9806	6980	482
