0	0	0	0
1	16153	8008	0
2	16338	7978	5
3	16350	8080	12
4	16542	8073	16
5	16338	8092	33
6	16506	8022	41
7	16434	8011	46
8	16269	8069	48
9	16471	8003	47
10	16329	8107	67
11	16105	8275	64
12	16461	8174	74
13	16088	8065	74
14	16208	8137	73
15	16328	8170	85
16	16085	8021	91
17	16138	8091	98
18	16127	8204	132
19	16427	8033	117
20	16122	8275	124
21	16361	8207	120
22	16028	8226	139
23	16282	8048	149
24	16267	8209	137
25	16227	8234	155
26	16310	8203	162
27	16193	8440	184
28	16197	8359	172
29	16037	8196	177
30	16448	8156	190
31	16199	8279	195
32	16305	8247	178
33	16010	8316	194
34	16054	8301	209
35	16357	8408	215
36	16206	8276	224
37	16056	8430	230
38	16175	8064	194
39	15915	8417	228
40	16270	8348	250
41	16134	8341	250
42	16275	8317	244
43	16103	8230	239
44	16304	8357	278
45	16301	8429	252
46	16110	8305	278
47	16136	8365	254
48	15804	8406	285
49	16210	8414	293
50	16126	8421	296
51	16007	8336	294
52	15803	8425	281
53	16331	8523	319
54	15961	8368	279
55	15917	8471	281
56	16025	8538	302
57	16193	8355	323
58	15962	8564	314
59	15843	8432	338
60	16087	8402	323
61	16129	8523	342
62	15943	8706	336
63	16188	8500	342
64	16127	8417	324
65	15962	8489	378
66	15871	8455	394
67	15860	8462	380
68	15830	8331	411
69	16039	8462	380
70	15850	8572	361
71	15874	8389	421
72	15947	8504	354
73	15793	8395	365
74	15945	8537	374
75	15921	8714	385
76	15726	8547	437
77	15732	8628	384
78	15930	8394	422
79	15894	8562	455
80	15782	8476	416
81	15714	8666	443
82	15762	8753	423
83	15953	8562	443
84	15829	8649	460
85	15982	8561	438
86	15869	8702	480
87	15884	8693	449
88	15863	8629	439
89	15923	8669	467
90	15783	8591	455
91	15623	8616	492
92	15597	8568	453
93	15787	8602	501
94	15829	8650	524
95	15756	8674	434
96	15663	8698	504
97	15770	8567	517
98	15783	8570	480
99	15843	8709	499
100	15590	8657	495
101	15911	8793	523
102	15687	8651	552
103	15659	8819	556
104	15726	8804	511
105	15628	8665	522
106	15576	8767	552
107	15723	8644	559
108	15720	8620	518
109	15631	8794	569
110	15569	8697	576
111	15715	8810	572
112	15576	8668	541
113	15534	8843	573
114	15661	8691	556
115	15517	8607	542
116	15401	8692	564
117	15384	8797	588
118	15533	8546	617
119	15703	8781	584
120	15632	8822	588
121	15414	8859	578
122	15660	8783	625
123	15513	8810	543
124	15568	8648	619
125	15623	8792	599
126	15455	8716	589
127	15350	8732	629
128	15228	8827	659
129	15466	8740	607
130	15326	8713	620
131	15471	8692	652
132	15453	8830	619
133	15589	8838	624
134	15353	8783	623
135	15435	8766	642
136	15277	8750	653
137	15322	8816	658
138	15517	8732	650
139	15349	8709	676
140	15402	8670	616
141	15262	8837	681
142	15394	8829	648
143	15410	8959	671
144	15320	8747	666
145	15344	8965	641
146	15299	8997	734
147	15387	8833	681
148	15399	8635	680
149	15320	8921	685
150	15146	8687	741
151	15208	8816	704
152	15444	8779	648
153	15338	8831	691
154	15404	8938	735
155	15340	8840	730
156	15274	8866	704
157	15267	8986	736
158	15316	8850	738
159	15123	9065	718
160	15355	8619	741
161	15103	8928	733
162	15209	8875	748
163	15279	8813	699
164	15248	8894	704
165	15208	8823	704
166	14995	8821	761
167	15132	8990	784
168	15167	8897	780
169	14789	8875	713
170	15278	8654	753
171	15068	8879	787
172	15075	8808	781
173	15085	8682	790
174	15039	9136	779
175	14889	8790	781
176	15140	8889	777
177	14938	8825	733
178	15210	8873	800
179	14808	8851	735
180	15075	8894	761
181	14850	8738	795
182	15106	8971	826
183	14914	8756	805
184	14941	9002	817
185	15061	9042	819
186	15013	8883	798
187	14978	8840	813
188	14936	8724	813
189	15033	8839	858
190	14754	8739	795
191	15199	8806	827
192	15055	8813	849
193	14797	8706	802
194	14743	8855	838
195	14788	8938	805
196	14771	8973	859
197	14888	8841	890
198	14918	8764	813
199	14883	9030	832
200	14691	8634	873
201	14682	8792	834
202	14600	8996	819
203	14800	8769	859
204	15087	8954	847
205	14875	8725	807
206	14634	8954	852
207	14663	8905	874
208	14804	8806	862
209	15068	8988	905
210	14619	8910	822
211	14711	8882	859
212	14658	8870	884
213	14682	8877	915
214	14893	8907	922
215	14837	8778	888
216	14840	8947	867
217	14966	8768	862
218	14592	8876	910
219	14814	9016	891
220	14565	8828	902
221	14754	8828	881
222	14786	8852	909
223	14927	8960	903
224	14693	8978	910
225	14931	8907	914
226	14803	8865	862
227	14695	8892	918
228	14692	8845	896
229	14584	8845	897
230	14590	8814	918
231	14725	8856	929
232	14667	8880	906
233	14640	8868	908
234	14421	8960	866
235	14714	8728	901
236	14594	8783	914
237	14542	8957	944
238	14648	8702	912
239	14559	8821	963
240	14234	9068	914
241	14271	8928	954
242	14572	8815	948
243	14477	8775	954
244	14807	8998	980
245	14356	8914	950
246	14328	8836	959
247	14309	8950	933
248	14252	8743	988
249	14327	8909	1009
250	14284	8809	977
251	14603	8883	974
252	14327	8928	987
253	14431	8850	967
254	14363	8926	966
255	14394	8953	960
256	14370	8951	962
257	14489	8962	967
258	14337	8956	978
259	14253	8786	931
260	14198	9016	979
261	14185	8738	1007
262	14298	8977	1080
263	14197	8732	986
264	14587	8783	1042
265	14299	9035	986
266	14350	8887	1034
267	14084	8933	980
268	14150	8963	991
269	14208	8886	937
270	14255	8788	965
271	14289	8759	964
272	14128	8999	1031
273	13876	8738	971
274	14122	8868	991
275	13885	8929	992
276	14225	8909	990
277	14143	8593	941
278	14033	8827	1009
279	14279	8797	997
280	14093	8923	1032
281	14106	8831	968
282	14163	8897	1028
283	14031	8679	1037
284	14016	8734	1045
285	13946	8907	1053
286	14243	8592	1025
287	13934	8612	1062
288	13972	8989	1051
289	14096	8699	1018
290	13909	8896	1026
291	13755	8787	1057
292	13840	8777	1070
293	13658	8834	1064
294	13644	8890	1046
295	14058	8951	1002
296	14073	8939	1038
297	13844	9027	1085
298	13731	8751	1021
299	13788	8711	1085
300	14153	8830	1051
301	14139	8891	1077
302	13851	8826	1019
303	14000	8828	999
304	13870	8812	1107
305	13869	8814	1095
306	13782	8650	1042
307	13896	8779	1078
308	13699	8733	1059
309	13822	8834	1090
310	13879	8730	1071
311	13837	8975	1097
312	13458	8727	1031
