conversão
###########################################################################################

5.488606;0.019117
5.845106;0.020366
11.504947;0.039393
12.765014;0.043567
15.305279;0.052051
15.782363;0.053666
16.811132;0.057040
17.322560;0.058788
17.669735;0.059979
17.945983;0.060841
19.986531;0.067642
21.539824;0.072635
21.767189;0.073377
21.859267;0.073697
23.233221;0.078237
24.181466;0.081452
24.799711;0.083493
26.120798;0.087683
26.299203;0.088291
26.388027;0.088552
27.509733;0.092135
28.003089;0.093783
28.592703;0.095752
28.664701;0.095977
28.721012;0.096195
29.722509;0.099348
29.985601;0.100201
30.868167;0.103139
32.496788;0.108535
35.051351;0.116929
35.314609;0.117818
35.943677;0.119806
36.079838;0.120243
36.800101;0.122554
37.685548;0.125484
38.479346;0.127993
38.668282;0.128567
39.185111;0.130297
39.620430;0.131656
39.707807;0.131908
40.079242;0.133163
40.254043;0.133750
40.948583;0.136004
41.516654;0.137890
41.781519;0.138752
43.046798;0.142806
44.089730;0.146243
45.261350;0.150022
45.504730;0.150786
46.198144;0.153050
46.926330;0.155515
47.884717;0.158579
48.072063;0.159185
48.317292;0.159990
49.448488;0.163510
49.761477;0.164536
50.145429;0.165730
50.447103;0.166616
51.130092;0.168845
51.154418;0.168940
51.451492;0.169930
52.024292;0.171894
52.466248;0.173445
52.545291;0.173661
52.716063;0.174201
52.876482;0.174748
53.142114;0.175573
53.491841;0.176669
53.851593;0.177859
53.912393;0.178054
54.085002;0.178615
54.252244;0.179209
55.274558;0.182587
55.280224;0.182610
55.343413;0.182839
56.521208;0.186558
56.802976;0.187453
56.870271;0.187667
56.961421;0.187947
56.970675;0.187978
57.507620;0.189685
57.745117;0.190498
58.149812;0.191805
58.235027;0.192105
58.489406;0.192919
58.644873;0.193404
58.705604;0.193591
58.822788;0.193959
58.910565;0.194249
59.587902;0.196366
61.135411;0.201369
61.951521;0.203993
62.538556;0.205995
62.665950;0.206389
62.909011;0.207107
62.943424;0.207199
62.987588;0.207381
64.106137;0.210989
64.732345;0.213008
64.958045;0.213715
65.387327;0.215039
65.414120;0.215108
65.430972;0.215149
66.751539;0.219396
67.182181;0.220852
67.700909;0.222514
67.895809;0.223130
68.033271;0.223570
68.159027;0.223996
68.208918;0.224139
68.528990;0.225180
68.804389;0.226042
68.956296;0.226567
69.232475;0.227375
69.364043;0.227768
69.582117;0.228506
69.615904;0.228621
70.302577;0.230864
70.548625;0.231731
70.684576;0.232197
71.065203;0.233394
71.104455;0.233516
71.646065;0.235284
71.771180;0.235656
