###########################################################################################
distribuições
###########################################################################################

214;2012;1261;116;3389
215;2019;1190;115;3324
216;1906;1176;116;3198
217;1938;1190;124;3252
218;2032;1164;125;3321
219;1959;1193;129;3281
220;2021;1243;130;3394
221;1943;1107;120;3170
222;1928;1150;128;3206
223;1906;1163;117;3186
224;1943;1177;139;3259
225;2007;1131;107;3245
226;1942;1217;141;3300
227;1942;1211;113;3266
228;1904;1265;111;3280
229;1834;1193;118;3145
230;1940;1245;129;3314
231;1906;1233;120;3259
232;1898;1126;131;3155
233;2000;1150;104;3254
234;1914;1204;127;3245
235;1918;1230;130;3278
236;1931;1187;117;3235
237;1988;1219;128;3335
238;1966;1200;130;3296
239;1870;1234;127;3231
240;1915;1204;123;3242
241;1991;1215;111;3317
242;1986;1173;121;3280
243;1965;1187;148;3300
244;1935;1205;135;3275
245;1838;1131;129;3098
246;1834;1249;134;3217
247;1940;1283;127;3350
248;1984;1202;103;3289
249;1872;1190;125;3187
250;1916;1181;118;3215
251;1940;1202;130;3272
252;1919;1260;141;3320
253;1879;1214;122;3215
254;1970;1226;134;3330
255;1882;1236;136;3254
256;1910;1172;136;3218
257;1859;1160;113;3132
258;1897;1218;136;3251
259;1870;1206;149;3225
260;1911;1167;124;3202
261;1895;1158;124;3177
262;1862;1182;131;3175
263;1906;1172;122;3200
264;1861;1190;121;3172
265;1860;1191;153;3204
266;1944;1227;127;3298
267;1841;1183;148;3172
268;1922;1201;125;3248
269;1894;1175;136;3205
270;1956;1134;135;3225
271;1925;1184;125;3234
272;1898;1217;132;3247
273;1907;1214;141;3262
274;1908;1182;130;3220
275;1914;1167;110;3191
276;1839;1167;146;3152
277;1851;1191;142;3184
278;1875;1120;138;3133
279;1935;1256;141;3332
280;1954;1157;160;3271
281;1823;1180;119;3122
282;1884;1205;141;3230
283;1917;1153;141;3211
284;1895;1215;145;3255
285;1873;1167;137;3177
286;1823;1205;126;3154
287;1929;1173;152;3254
288;1817;1224;159;3200
289;1836;1177;128;3141
290;1853;1217;143;3213
291;1834;1157;138;3129
292;1901;1108;135;3144
293;1858;1215;140;3213
294;1826;1184;156;3166
295;1792;1184;120;3096
296;1838;1241;162;3241
297;1866;1188;144;3198
298;1887;1203;153;3243
299;1866;1196;134;3196
300;1823;1169;142;3134
301;1832;1156;139;3127
302;1845;1177;133;3155
303;1811;1211;161;3183
304;1808;1151;121;3080
305;1833;1149;143;3125
306;1888;1153;131;3172
307;1877;1132;139;3148
308;1874;1186;138;3198
309;1927;1162;143;3232
310;1858;1134;151;3143
311;1807;1173;148;3128
312;1895;1106;136;3137
313;1822;1205;150;3177
314;1842;1193;116;3151
315;1849;1190;141;3180
316;1761;1202;126;3089
317;1873;1184;131;3188
318;1796;1150;167;3113
319;1836;1147;155;3138
320;1818;1211;157;3186
321;1785;1169;154;3108
322;1760;1190;138;3088
323;1844;1154;154;3152
324;1873;1132;151;3156
325;1841;1169;155;3165
326;1860;1207;155;3222
327;1833;1173;157;3163
328;1786;1112;149;3047
329;1828;1214;146;3188
330;1827;1252;136;3215
331;1729;1191;141;3061
332;1754;1091;143;2988
333;1730;1210;146;3086
334;1772;1155;158;3085
335;1792;1170;144;3106
336;1859;1242;149;3250
337;1760;1118;157;3035
338;1758;1208;144;3110
339;1806;1158;141;3105
340;1762;1174;135;3071
341;1802;1164;154;3120
342;1760;1152;163;3075
343;1834;1097;137;3068
344;1818;1232;134;3184
345;1849;1176;128;3153
346;1767;1177;153;3097
347;1851;1169;146;3166
348;1888;1163;150;3201
349;1739;1212;133;3084
350;1753;1178;165;3096
351;1794;1228;136;3158
352;1772;1097;162;3031
353;1809;1171;139;3119
354;1815;1160;136;3111
355;1829;1176;141;3146
356;1863;1149;171;3183
357;1771;1186;154;3111
358;1735;1108;137;2980
359;1758;1115;151;3024
360;1751;1168;137;3056
361;1788;1117;150;3055
362;1819;1159;144;3122
363;1770;1144;147;3061
364;1786;1193;136;3115
365;1752;1167;159;3078
366;1742;1113;142;2997
367;1799;1093;147;3039
368;1772;1185;151;3108
369;1681;1104;172;2957
370;1787;1145;153;3085
371;1789;1191;165;3145
372;1747;1143;162;3052
373;1773;1172;143;3088
374;1664;1181;138;2983
375;1800;1209;131;3140
376;1687;1155;166;3008
377;1834;1178;163;3175
378;1760;1141;164;3065
379;1786;1122;173;3081
380;1764;1096;158;3018
381;1676;1159;150;2985
382;1745;1161;165;3071
383;1706;1175;141;3022
384;1808;1192;155;3155
385;1769;1197;134;3100
386;1808;1165;133;3106
387;1664;1182;167;3013
388;1753;1141;153;3047
389;1728;1140;153;3021
390;1764;1094;147;3005
391;1765;1173;143;3081
392;1804;1192;176;3172
393;1719;1192;149;3060
394;1703;1130;174;3007
395;1679;1098;152;2929
396;1816;1178;153;3147
397;1732;1151;148;3031
398;1754;1116;184;3054
399;1700;1129;150;2979
400;1812;1143;157;3112
401;1629;1148;157;2934
402;1656;1204;142;3002
403;1684;1174;161;3019
404;1681;1190;156;3027
405;1736;1138;161;3035
406;1766;1075;134;2975
407;1717;1182;170;3069
408;1714;1101;173;2988
409;1705;1087;134;2926
410;1624;1196;122;2942
411;1669;1160;139;2968
412;1666;1102;150;2918
413;1662;1122;135;2919
414;1761;1137;153;3051
415;1633;1091;181;2905
416;1722;1166;161;3049
417;1682;1094;146;2922
418;1547;1101;152;2800
419;1644;1084;145;2873
420;1673;1113;153;2939
421;1753;1162;149;3064
422;1637;1177;169;2983
423;1686;1175;154;3015
424;1694;1191;141;3026
425;1709;1089;170;2968
426;1772;1174;160;3106
427;1584;1170;150;2904
428;1649;1056;144;2849
429;1695;1129;137;2961
430;1692;1168;133;2993
431;1642;1162;165;2969
432;1632;1076;148;2856
433;1685;1098;166;2949
434;1624;1151;177;2952
435;1702;1054;147;2903
436;1619;1159;140;2918
437;1623;1115;158;2896
438;1631;1204;138;2973
439;1685;1113;179;2977
440;1686;1152;151;2989
441;1712;1134;173;3019
442;1591;1098;143;2832
443;1639;1096;172;2907
444;1562;1114;147;2823
445;1660;1081;171;2912
446;1636;1073;161;2870
447;1626;1134;155;2915
448;1609;1088;174;2871
449;1590;1167;148;2905
450;1613;1130;133;2876
451;1690;1120;165;2975
452;1597;1089;154;2840
453;1565;1030;158;2753
454;1638;1112;152;2902
455;1691;1075;174;2940
456;1559;1151;171;2881
457;1663;1089;146;2898
458;1574;1078;135;2787
459;1667;1108;149;2924
460;1658;1142;162;2962
461;1646;1141;165;2952
462;1634;1069;149;2852
463;1611;1079;186;2876
464;1644;1097;173;2914
465;1583;1107;148;2838
466;1628;1136;148;2912
467;1549;1010;141;2700
468;1608;1107;152;2867
469;1592;1117;160;2869
470;1691;1118;165;2974
471;1625;1076;146;2847
472;1694;1165;139;2998
473;1677;1136;169;2982
474;1644;1078;162;2884
475;1648;1160;160;2968
476;1597;1037;146;2780
477;1621;1070;148;2839
478;1607;1137;173;2917
479;1631;1088;146;2865
480;1576;1048;159;2783
481;1660;1093;155;2908
482;1619;1098;172;2889
483;1658;1100;139;2897
484;1620;1057;174;2851
485;1626;1113;152;2891
486;1577;1052;172;2801
487;1590;1056;145;2791
488;1561;1081;172;2814
489;1600;1086;152;2838
490;1665;1028;174;2867
491;1594;1092;163;2849
492;1545;1071;145;2761
493;1607;1102;164;2873
494;1605;1097;151;2853
495;1559;1050;153;2762
496;1550;1069;151;2770
497;1573;1067;160;2800
498;1495;1048;150;2693
499;1589;1090;162;2841
500;1583;1062;159;2804
501;1611;1068;144;2823
502;1566;1089;193;2848
503;1519;1070;162;2751
504;1576;1046;142;2764
505;1551;1056;162;2769
506;1531;1069;181;2781
507;1529;1105;148;2782
508;1577;1105;180;2862
509;1612;1077;175;2864
510;1582;1029;154;2765
511;1555;1084;159;2798
512;1612;1038;154;2804
513;1503;1048;180;2731
514;1591;1085;158;2834
515;1526;1032;152;2710
516;1487;1078;139;2704
517;1559;1100;160;2819
518;1574;1052;143;2769
519;1543;1071;156;2770
520;1540;1042;143;2725
521;1568;1067;160;2795
522;1569;1084;154;2807
523;1565;1096;156;2817
524;1607;1036;164;2807
525;1513;1050;170;2733
526;1488;1049;149;2686
527;1554;1032;170;2756
