###########################################################################################
log
###########################################################################################

Time = 60783.25
Volume = 1.00e-17
Loops = 100

###########################################################################################
distribuições
###########################################################################################

0;0;0;0;0
1;2771;1585;0;4356
2;3084;3536;1;6621
3;2993;4359;0;7352
4;3074;4839;3;7916
5;2935;5050;6;7991
6;2984;5134;6;8124
7;3038;5120;15;8173
8;2945;5233;7;8185
9;3142;5362;18;8522
10;2967;5329;5;8301
11;2900;5342;12;8254
12;2902;5372;9;8283
13;2944;5134;16;8094
14;2805;5330;16;8151
15;2975;5270;20;8265
16;2963;5293;13;8269
17;2885;5242;23;8150
18;2891;5104;17;8012
19;2899;5202;22;8123
20;2885;5219;20;8124
21;2834;5176;18;8028
22;2901;5123;26;8050
23;2897;5059;22;7978
24;2853;5043;28;7924
25;2940;5077;18;8035
26;2925;5114;32;8071
27;2937;5009;21;7967
28;2903;5023;33;7959
29;2852;5101;36;7989
30;2897;5075;43;8015
31;2850;4964;25;7839
32;2940;5063;28;8031
33;2833;5081;30;7944
34;2864;4936;28;7828
35;2883;4900;35;7818
36;2902;5067;34;8003
37;2826;5044;38;7908
38;2826;4924;33;7783
39;2844;4957;34;7835
40;2861;5061;30;7952
41;2865;4946;26;7837
42;2976;4800;39;7815
43;2922;4861;34;7817
44;2916;4904;40;7860
45;2814;4912;34;7760
46;2792;4937;36;7765
47;2887;5038;42;7967
48;2845;5000;37;7882
49;2892;4936;41;7869
50;2830;4970;36;7836
51;2782;4968;36;7786
52;2831;4920;36;7787
53;2842;4848;45;7735
54;2769;4878;44;7691
55;2759;4848;47;7654
56;2841;4881;35;7757
57;2903;4878;61;7842
58;2807;4841;53;7701
59;2780;4970;50;7800
60;2665;4856;45;7566
61;2769;4888;57;7714
62;2742;4771;49;7562
63;2781;4737;38;7556
64;2833;4765;52;7650
65;2829;4773;57;7659
66;2754;4889;52;7695
67;2778;4768;60;7606
68;2758;4752;51;7561
69;2836;4605;48;7489
70;2855;4758;56;7669
71;2729;4737;57;7523
72;2724;4766;54;7544
73;2746;4677;49;7472
74;2736;4606;36;7378
75;2765;4771;64;7600
76;2755;4579;56;7390
77;2726;4713;60;7499
78;2764;4640;45;7449
79;2781;4629;57;7467
80;2702;4674;43;7419
81;2820;4722;53;7595
82;2765;4586;54;7405
83;2674;4531;46;7251
84;2713;4479;64;7256
85;2649;4557;65;7271
86;2647;4546;44;7237
87;2811;4595;74;7480
88;2787;4567;60;7414
89;2752;4535;72;7359
90;2734;4635;68;7437
91;2671;4541;56;7268
92;2755;4557;83;7395
93;2748;4544;62;7354
94;2711;4522;72;7305
95;2704;4465;44;7213
96;2710;4498;58;7266
97;2659;4422;47;7128
98;2679;4403;70;7152
99;2700;4505;59;7264
100;2673;4534;62;7269
101;2681;4433;57;7171
102;2612;4401;74;7087
103;2682;4388;67;7137
104;2689;4452;77;7218
105;2629;4481;63;7173
106;2559;4340;74;6973
107;2710;4470;75;7255
108;2642;4386;62;7090
109;2572;4319;66;6957
110;2646;4345;75;7066
111;2565;4418;69;7052
112;2643;4429;60;7132
113;2584;4290;60;6934
114;2645;4355;60;7060
115;2686;4342;72;7100
116;2564;4375;75;7014
117;2683;4226;55;6964
118;2625;4247;77;6949
119;2572;4312;68;6952
120;2479;4366;71;6916
121;2609;4229;64;6902
122;2507;4399;67;6973
123;2565;4331;63;6959
124;2599;4362;59;7020
125;2508;4274;62;6844
126;2570;4233;77;6880
127;2644;4413;73;7130
128;2516;4325;79;6920
129;2696;4121;76;6893
130;2524;4158;70;6752
131;2537;4201;61;6799
132;2502;4193;67;6762
133;2616;4295;77;6988
134;2490;4162;69;6721
135;2521;4245;76;6842
136;2624;4176;84;6884
137;2505;4054;67;6626
138;2568;4078;73;6719
139;2548;4210;76;6834
140;2563;4143;101;6807
141;2535;4057;70;6662
142;2464;4149;70;6683
143;2630;4068;94;6792
144;2525;4068;61;6654
