###########################################################################################
log
###########################################################################################

Time = 26.24
Volume = 5.00e-17
Loops = 1

###########################################################################################
distribuições
###########################################################################################

0	0	0	0
1	124	51	0
2	95	66	0
3	116	87	0
4	102	88	1
5	101	84	0
6	104	68	0
7	109	99	0
8	106	86	0
9	94	76	0
10	95	74	0
11	117	75	0
12	117	77	1
13	114	76	0
14	118	76	0
15	100	72	0
16	128	71	0
17	95	79	0
18	97	72	1
19	118	68	1
20	98	80	0
21	100	69	0
22	109	83	0
23	113	83	0
24	113	83	2
25	105	68	2
26	112	69	1
27	98	58	0
28	98	65	1
29	121	67	0
30	128	76	1
31	98	81	0
32	99	92	2
33	102	81	0
34	95	82	2
35	104	81	1
36	92	71	2
37	94	65	3
38	112	83	1
39	84	79	1
40	109	73	1
41	120	73	0
42	117	87	2
43	100	54	1
44	117	61	3
45	110	83	2
46	102	73	2
47	128	69	4
48	82	83	1
49	114	86	3
50	114	76	4
51	92	86	3
52	115	98	1
53	103	52	4
54	107	73	3
55	92	89	3
56	119	80	3
57	117	72	2
58	127	79	0
59	109	75	1
60	98	78	2
61	97	78	2
62	107	70	0
63	101	56	1
64	91	64	2
65	115	76	0
66	128	69	5
67	108	71	4
68	119	75	3
69	117	67	2
70	117	78	2
71	120	67	4
72	107	58	2
73	111	71	2
74	98	66	4
75	89	64	4
76	113	86	3
77	92	81	1
78	124	65	1
79	100	64	2
80	110	88	3
81	108	69	1
82	100	82	2
83	105	67	3
84	107	79	2
85	91	69	2
86	93	80	4
87	111	74	2
88	122	82	4
89	97	68	6
90	88	72	2
91	88	73	4
92	104	71	4
93	109	84	5
94	87	64	6
95	102	78	2
96	106	76	1
97	85	78	3
98	103	83	2
99	98	68	2
100	112	79	4
101	109	67	6
102	94	77	3
103	97	79	1
104	92	75	0
105	116	65	2
106	109	72	2
107	114	64	4
108	98	69	4
109	98	70	9
110	95	76	6
111	112	81	3
112	101	69	1
113	104	77	3
114	107	74	2
115	108	85	2
116	113	80	1
117	106	73	3
118	105	83	2
119	95	78	3
120	101	68	5
121	105	71	3
122	116	80	1
123	96	71	5
124	112	77	4
125	81	77	4
126	93	84	4
127	85	49	6
128	95	77	5
129	98	67	5
130	114	82	4
131	114	79	9
132	107	73	2
133	107	82	5
134	88	74	4
135	109	74	2
136	105	66	6
137	107	68	3
138	113	79	7
139	100	73	2
140	124	68	7
141	107	62	7
142	103	78	5
143	90	76	4
144	101	63	2
145	114	93	2
146	105	71	4
147	98	70	4
148	102	76	5
149	93	78	4
150	124	74	3
151	79	54	2
152	108	72	4
153	89	62	4
154	87	75	2
155	105	62	4
156	97	66	3
157	105	66	4
158	90	66	4
159	106	71	6
160	99	48	3
161	101	69	6
162	104	71	4
163	107	73	1
164	86	72	3
165	82	83	2
166	111	91	7
167	106	76	1
168	98	79	7
169	109	61	4
170	91	71	5
171	84	72	7
172	108	82	4
173	98	78	4
174	95	68	4
175	90	88	4
176	88	85	7
177	103	68	8
178	101	69	1
179	111	64	4
180	92	75	1
181	119	82	4
182	104	68	2
183	100	53	5
184	110	73	3
185	108	74	7
186	95	81	7
187	101	81	3
188	87	70	7
189	103	56	2
190	105	75	5
191	92	80	7
192	106	72	6
193	97	72	4
194	91	54	7
195	106	66	5
196	99	63	5
197	94	68	6
198	89	67	7
199	84	71	6
200	115	73	6
201	95	64	6
202	94	66	3
203	95	94	4
204	99	64	7
205	106	75	3
206	94	67	3
207	100	62	7
208	102	63	8
209	99	68	6
210	82	74	12
211	114	61	4
212	90	65	0
213	101	64	7
214	93	73	7
215	108	72	4
216	83	78	5
217	103	61	5
218	114	66	4
219	110	76	3
220	100	64	5
221	98	68	6
222	93	72	5
223	95	67	0
224	94	76	7
225	110	59	1
226	106	74	7
227	90	47	7
228	103	79	6
229	84	80	5
230	107	66	5
231	91	70	3
232	104	66	3
233	94	58	4
234	101	55	5
235	88	72	7
236	112	63	4
237	109	75	5
238	99	67	4
239	92	63	9
240	83	70	2
241	108	60	5
242	101	80	6
243	91	65	7
244	90	78	4
245	102	65	6
246	90	68	7
247	95	68	7
248	97	68	5
249	89	55	4
250	87	71	5
251	102	60	4
252	96	74	2
253	86	69	7
254	78	57	4
255	99	73	6
256	91	57	8
